id_cliente,id_loja,id_produto,dt_venda,cliente_id,cliente_nome,cliente_sexo,
,loja_id,loja_cidade,produto_id,produto_produto,produto_valor,pagamento_id,pagamento_dt_pgto,pg,tempo_pg
393,9,3,2018-01-04,394.0,Sophia Costa,F,8/8/1985,10.0,Vitória,4.0,laptop gamer,5300.0,1.0,2018-01-24,0,20.0
417,9,3,2018-01-04,418.0,Kauan Ferreira,M,7/11/1950,10.0,Vitória,4.0,laptop gamer,5300.0,2.0,2018-02-17,0,44.0
374,7,8,2018-01-04,375.0,Renan Melo,M,12/10/1998,8.0,Brasília,9.0,mesa,860.0,3.0,2018-02-14,0,41.0
59,4,3,2018-01-05,60.0,Camila Azevedo,F,12/11/1975,5.0,Santa Catarina,4.0,laptop gamer,5300.0,,,1,
18,9,1,2018-01-05,19.0,Luis Araujo,M,1/22/1966,10.0,Vitória,2.0,teclado,30.0,4.0,2018-01-23,0,18.0
52,8,3,2018-01-05,53.0,Julieta Alves,F,12/26/1988,9.0,Palmas,4.0,laptop gamer,5300.0,,,1,
485,10,6,2018-01-06,486.0,Bruna Cunha,F,12/30/1979,,,7.0,carregador,150.0,5.0,2018-02-15,0,40.0
543,10,10,2018-01-06,544.0,Pedro Sousa,M,6/19/1952,,,,,,6.0,2018-01-24,0,18.0
855,7,3,2018-01-06,856.0,Amanda Cunha,F,6/14/1948,8.0,Brasília,4.0,laptop gamer,5300.0,7.0,2018-01-31,0,25.0
724,3,10,2018-01-07,725.0,Felipe Correia,M,7/29/1969,4.0,Belo Horizonte,,,,8.0,2018-02-04,0,28.0
607,5,3,2018-01-07,608.0,Victor Costa,M,5/3/1979,6.0,Recife,4.0,laptop gamer,5300.0,9.0,2018-02-17,0,41.0
308,10,3,2018-01-07,309.0,Diego Correia,M,9/17/1958,,,4.0,laptop gamer,5300.0,10.0,2018-02-13,0,37.0
747,3,1,2018-01-10,748.0,Gustavo Almeida,M,5/12/1992,4.0,Belo Horizonte,2.0,teclado,30.0,11.0,2018-01-10,0,0.0
906,8,2,2018-01-10,907.0,Nicolas Azevedo,M,12/9/1985,9.0,Palmas,3.0,laptop básico,2300.0,12.0,2018-01-30,0,20.0
635,10,3,2018-01-10,636.0,Lavinia Carvalho,F,8/21/1994,,,4.0,laptop gamer,5300.0,13.0,2018-01-15,0,5.0
691,7,3,2018-01-11,692.0,Leila Costa,F,10/16/2000,8.0,Brasília,4.0,laptop gamer,5300.0,14.0,2018-01-22,0,11.0
952,7,3,2018-01-11,953.0,André Lima,M,3/2/2002,8.0,Brasília,4.0,laptop gamer,5300.0,15.0,2018-02-11,0,31.0
395,2,3,2018-01-11,396.0,Gabriela Santos,F,4/27/2000,3.0,Curitiba,4.0,laptop gamer,5300.0,16.0,2018-02-16,0,36.0
349,7,5,2018-01-12,350.0,Giovanna Goncalves,F,9/17/1971,8.0,Brasília,6.0,impressora,700.0,17.0,2018-01-16,0,4.0
732,9,8,2018-01-12,733.0,Evelyn Cavalcanti,F,7/18/1970,10.0,Vitória,9.0,mesa,860.0,18.0,2018-01-16,0,4.0
270,2,10,2018-01-12,271.0,Melissa Goncalves,F,3/17/1977,3.0,Curitiba,,,,,,1,
465,2,3,2018-01-12,466.0,Tomás Cardoso,M,8/7/1972,3.0,Curitiba,4.0,laptop gamer,5300.0,,,1,
665,10,10,2018-01-12,666.0,Julieta Fernandes,F,9/4/2001,,,,,,19.0,2018-02-09,0,28.0
478,2,2,2018-01-12,479.0,Alex Correia,M,7/28/1969,3.0,Curitiba,3.0,laptop básico,2300.0,20.0,2018-02-21,0,40.0
152,9,5,2018-01-13,153.0,Maria Almeida,F,6/7/2000,10.0,Vitória,6.0,impressora,700.0,21.0,2018-02-26,0,44.0
875,8,3,2018-01-13,876.0,Camila Barbosa,F,10/14/2001,9.0,Palmas,4.0,laptop gamer,5300.0,22.0,2018-02-27,0,45.0
951,8,3,2018-01-13,952.0,Amanda Fernandes,F,7/27/1997,9.0,Palmas,4.0,laptop gamer,5300.0,23.0,2018-02-16,0,34.0
925,6,9,2018-01-13,926.0,Vitória Goncalves,F,10/9/1974,7.0,Salvador,10.0,xxx-231a,3211.352,24.0,2018-02-02,0,20.0
299,5,10,2018-01-13,300.0,Isabela Souza,F,12/13/1995,6.0,Recife,,,,25.0,2018-02-09,0,27.0
358,3,2,2018-01-13,359.0,Aline Correia,F,1/23/1986,4.0,Belo Horizonte,3.0,laptop básico,2300.0,26.0,2018-02-12,0,30.0
519,4,3,2018-01-13,520.0,Gustavo Araujo,M,6/2/1973,5.0,Santa Catarina,4.0,laptop gamer,5300.0,27.0,2018-01-22,0,9.0
739,9,3,2018-01-13,740.0,Gabrielly Pereira,F,10/6/2002,10.0,Vitória,4.0,laptop gamer,5300.0,28.0,2018-02-22,0,40.0
459,2,7,2018-01-13,460.0,Camila Ferreira,F,11/5/1970,3.0,Curitiba,8.0,cadeira,540.0,,,1,
568,2,1,2018-01-14,569.0,Douglas Pinto,M,9/14/1982,3.0,Curitiba,2.0,teclado,30.0,29.0,2018-02-23,0,40.0
378,7,3,2018-01-14,379.0,Marina Ribeiro,F,10/7/1997,8.0,Brasília,4.0,laptop gamer,5300.0,30.0,2018-02-05,0,22.0
719,4,7,2018-01-14,720.0,Leonardo Barbosa,M,1/6/1976,5.0,Santa Catarina,8.0,cadeira,540.0,31.0,2018-02-21,0,38.0
959,6,3,2018-01-14,960.0,Camila Correia,F,12/29/1981,7.0,Salvador,4.0,laptop gamer,5300.0,32.0,2018-02-24,0,41.0
927,8,7,2018-01-14,928.0,Julian Sousa,M,7/1/1985,9.0,Palmas,8.0,cadeira,540.0,33.0,2018-02-17,0,34.0
844,2,7,2018-01-14,845.0,Luiza Cunha,F,11/10/1944,3.0,Curitiba,8.0,cadeira,540.0,,,1,
45,10,3,2018-01-15,46.0,Isabela Pinto,F,11/10/1944,,,4.0,laptop gamer,5300.0,34.0,2018-01-31,0,16.0
47,5,5,2018-01-15,48.0,Diogo Alves,M,9/2/1981,6.0,Recife,6.0,impressora,700.0,35.0,2018-01-25,0,10.0
353,6,2,2018-01-15,354.0,Daniel Pereira,M,8/4/1941,7.0,Salvador,3.0,laptop básico,2300.0,36.0,2018-01-19,0,4.0
246,3,7,2018-01-16,247.0,Luís Alves,M,3/23/1950,4.0,Belo Horizonte,8.0,cadeira,540.0,37.0,2018-02-24,0,39.0
332,8,7,2018-01-16,333.0,Renan Carvalho,M,9/17/1973,9.0,Palmas,8.0,cadeira,540.0,38.0,2018-02-18,0,33.0
769,2,3,2018-01-16,770.0,Beatrice Castro,F,6/25/1944,3.0,Curitiba,4.0,laptop gamer,5300.0,,,1,
679,9,3,2018-01-18,680.0,Julia Goncalves,F,8/22/1979,10.0,Vitória,4.0,laptop gamer,5300.0,39.0,2018-01-28,0,10.0
595,2,3,2018-01-18,596.0,Luiz Silva,M,5/4/1957,3.0,Curitiba,4.0,laptop gamer,5300.0,40.0,2018-02-12,0,25.0
651,3,1,2018-01-18,652.0,Thaís Araujo,F,4/20/1986,4.0,Belo Horizonte,2.0,teclado,30.0,41.0,2018-02-04,0,17.0
694,6,3,2018-01-19,695.0,Matheus Barros,M,11/21/1952,7.0,Salvador,4.0,laptop gamer,5300.0,42.0,2018-01-24,0,5.0
243,2,3,2018-01-19,244.0,Thiago Ribeiro,M,1/31/1935,3.0,Curitiba,4.0,laptop gamer,5300.0,,,1,
707,8,4,2018-01-19,708.0,Camila Pinto,F,9/3/1988,9.0,Palmas,5.0,monitor,1500.0,,,1,
471,2,6,2018-01-20,472.0,Melissa Silva,F,2/27/1972,3.0,Curitiba,7.0,carregador,150.0,,,1,
294,2,3,2018-01-20,295.0,Tiago Lima,o,7/26/1973,3.0,Curitiba,4.0,laptop gamer,5300.0,43.0,2018-02-27,0,38.0
467,6,3,2018-01-20,468.0,Julieta Oliveira,F,8/30/1947,7.0,Salvador,4.0,laptop gamer,5300.0,44.0,2018-02-02,0,13.0
873,6,3,2018-01-21,874.0,Vinicius Oliveira,M,9/9/2003,7.0,Salvador,4.0,laptop gamer,5300.0,45.0,2018-02-16,0,26.0
745,8,4,2018-01-21,746.0,Aline Sousa,F,1/13/1964,9.0,Palmas,5.0,monitor,1500.0,,,1,
769,2,2,2018-01-21,770.0,Beatrice Castro,F,6/25/1944,3.0,Curitiba,3.0,laptop básico,2300.0,,,1,
117,2,3,2018-01-21,118.0,Alex Sousa,M,12/28/1943,3.0,Curitiba,4.0,laptop gamer,5300.0,,,1,
387,8,3,2018-01-21,388.0,Gabrielly Melo,F,9/9/1959,9.0,Palmas,4.0,laptop gamer,5300.0,,,1,
674,10,6,2018-01-21,675.0,Leila Castro,F,12/15/1989,,,7.0,carregador,150.0,46.0,2018-02-19,0,29.0
31,2,3,2018-01-23,32.0,Luana Rocha,F,9/17/1986,3.0,Curitiba,4.0,laptop gamer,5300.0,47.0,2018-03-07,0,43.0
448,10,3,2018-01-23,449.0,Diogo Correia,M,12/17/1998,,,4.0,laptop gamer,5300.0,48.0,2018-03-02,0,38.0
786,9,2,2018-01-23,787.0,Kai Almeida,M,10/31/1969,10.0,Vitória,3.0,laptop básico,2300.0,49.0,2018-02-02,0,10.0
